ID;Species;Municipality;codigo;Distrito;State;Collection_data_start;year_collection;Collection_data_end;Location;Latitude graus;Longitude graus;Latitude;Longitude;added latitude;added longitude;State latitude (added)**;State longitude (added)**;Reference;Publication Year;Type of study;P_vivax_detection;P_falciparum_detection;P_malariae_detection;PCR_Plasmodium_spp;Positive_Plasmodium_dissection;Infection;Main colected specie;Main colected specie.1;Main colected specie.2;Obs;Obs 2;txmigbruta_2010_g3;txmigliqui_2010_g3;Desmatado2007;Incremento20062007;Floresta2007;Nuvem2007;NaoObservado2007;NaoFloresta2007;Hidrografia2007;Desmatado2008;Incremento20072008;Floresta2008;Nuvem2008;NaoObservado2008;NaoFloresta2008;Hidrografia2008;Desmatado2009;Incremento20082009;Floresta2009;Nuvem2009;NaoObservado2009;NaoFloresta2009;Hidrografia2009;Desmatado2010;Incremento20092010;Floresta2010;Nuvem2010;NaoObservado2010;NaoFloresta2010;Hidrografia2010;Desmatado2011;Incremento20102011;Floresta2011;Nuvem2011;naoObservado2011;naoFloresta2011;Hidrografia2011;Desmatado2012;Incremento20112012;Floresta2012;Nuvem2012;naoObservado2012;naoFloresta2012;Hidrografia2012;Desmatado2013;Incremento20122013;Floresta2013;Nuvem2013;naoObservado2013;naoFloresta2013;Hidrografia2013;Desmatado2014;Incremento20132014;Floresta2014;Nuvem2014;naoObservado2014;naoFloresta2014;Hidrografia2014;Desmatado2015;Incremento20142015;Floresta2015;Nuvem2015;naoObservado2015;naoFloresta2015;Hidrografia2015;Desmatado2016;Incremento20152016;Floresta2016;Nuvem2016;naoObservado2016;naoFloresta2016;Hidrografia2016;Desmatado2017;Incremento20162017;Floresta2017;Nuvem2017;naoObservado2017;naoFloresta2017;Hidrografia2017;Desmatado2018;Incremento20172018;Floresta2018;Nuvem2018;naoObservado2018;naoFloresta2018;Hidrografia2na18;Desmatado2019;Incremento20182019;Floresta2019;Nuvem2019;naoObservado2019;naoFloresta2019;Hidrografia2019;ipa_2007;ipa_2008;ipa_2009;ipa_2010;ipa_2011;ipa_2012;ipa_2013;ipa_2014;ipa_2015;ipa_2016;ipa_2017;ipa_2018;ipa_2019
2012;Ny. darlingi;Acrelândia;120001;;Acre;;0.0;;;;;-9,83;-66,89;-982.538;-668.865;;;Almeida et al.;2014;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
94;Ny. darlingi;Acrelândia;120001;;Acre;;0.0;;;10°07’S;66°55’W;-10,12;-66,92;;;;;Bourke et al.;2010;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
95;Ny. deaneorum;Acrelândia;120001;;Acre;;0.0;;;09°42’S;67°05’W;-9,7;-67,08;;;;;Bourke et al.;2010;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
96;Ny. deaneorum;Acrelândia;120001;;Acre;;0.0;;;09°43’S;67°06’W;-9,72;-67,1;;;;;Bourke et al.;2010;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
103;Ny. rangeli;Acrelândia;120001;;Acre;;0.0;;;09°41’S;67°08’W;-9,68;-67,13;;;;;Bourke et al.;2010;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
105;Ny. triannulatus s.l.;Acrelândia;120001;;Acre;;0.0;;;09°42’S;67°05’W;-9,70000;-67,06750;;;;;Bourke et al.;2010;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
1646;Ny. darlingi;Acrelândia;120001;;Acre;01/04/2011;2011.0;abr/11;Ramal do Gra0da;9°45′S;67°04′W;-9,75;-67,07;;;;;Campos et al.;2019;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;18-06h;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
1;Ny. benarrochi;Acrelândia;120001;;Acre;01/07/2006;2006.0;;Ramal do Gra0da, Linha 14;;;-9,68000;-67,11750;;;;;Foster et al;2013;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
2;Ny. darlingi;Acrelândia;120001;;Acre;01/07/2006;2006.0;;Assentamento Orion, Linha 5;;;-10,12;-66,91;;;;;Foster et al;2013;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
3;Ny. deaneorum;Acrelândia;120001;;Acre;01/07/2006;2006.0;;Ramal do Gra0da, Gleba Q, Reserva 28;;;-9,71;-67,1;;;;;Foster et al;2013;1- taxonomic, phylogenetic a0lysis, morphology, new species;;;;;;;;;;;;0,317350429;0,018049873;1036,9;12,2;628,4;212,7;2;0;0;1061,3;24,4;815,8;0;2,9;0;0;1074,9;13,7;802,5;0;2,6;0;0;1086,7;11,7;790,4;0;2,9;0;0;1103,5;16,8;773,7;0;2,8;0;0;1107,7;4,2;747,4;22;2,9;0;0;1120;12,3;757,2;0;2,8;0;0;1137,3;17,3;739,2;0,8;2,7;0;0;1152,5;15,2;727,5;0;0;0;0;1176,9;24,5;700,4;0;2,7;0;0;1183;6,1;697;0;0;0;0;1206,9;23,8;673,1;0;0;0;0;1227,3;20,4;652,7;0;0;0;0;90,8;25,6;6,5;12,4;5;5,9;53,2;23,7;5,6;4,8;15,6;7,9;3,7
